カード名,日本語名,キーワード,正位置,逆位置
The Fool,愚者,自由,何がどうなるかわからない,決まっていないがゆえに翻弄される
The Magician,魔術師,想像力,自ら行動して始める,いい思いだけしようとする
The PriestessHigh,女教皇,精神性,知性と理性で見つめる,見たいものだけを見ようとしている
The Empress,女帝,愛,豊かな実りを存分に享受する,過剰な恵みにうんざりしている
The Emperor,皇帝,社会,継続的な安定を得る,力によって間に合わせの安定を得る
The Hierophant,司祭,モラル,モラルの元に信頼や絆を結ぶ,モラルに反し信頼や絆を利用する
The Lovers,恋人,心地よさ,夢見る心地で幸福を感じる,今さえよければと流される
The Chariot,戦車,エネルギー,果敢に物事に挑むでいく,自己抑制ができない
Strength,力,本質的な力,困難を乗り越える,耐えかねてものごとを投げ出す
The Hermit,隠者,探究,理想を追い求める,現実から目を背けている
Wheel of Fortune,運命の車輪,宿命,運命の流れにのって好転する,運命のいたずらに翻弄される
Justice,正義,バランス,感情を挟まない冷静な対応,感情に左右される不合理な対応
The Hanged Man,吊るし人,静止,現状に向き合って静かに考える,現状を受け入れられずにもがく
Death,死,定め,新しいステージに進む,過去に縛られ先に進めない
Temperance,節制,反応,新しいものを受け入れる,異質なものを受け入れない
The Devil,悪魔,呪縛,心のなかの悪魔に負ける,心の中の悪魔と戦う
The Tower,塔,破壊,突然に見舞われるショック,後からじわじわとくるショック
The Star,星,希望,明るい未来につながる,なにも実らず流れしまう
The Moon,月,神秘,幻想を通して現実を見る,少しずつ現実が見えてくる
The Sun,太陽,喜び,努力の成果を得る,目の日を見られない
Judgement,審判,解放,瞬時にチャンスをつかむ,先送りでそのまま凍結
The World,世界,完成,目標を成しえて満足する,不満足な結果を撤退する
ace of wands,ワンドのA,生命力,新たな挑戦が始まる,一つの挑戦が終わる
two of wands,ワンドの2,到達,目標に到達して自身溢れている,到達したものを失いそうになっている
three of wands,ワンドの3,模索,挑戦の機会を伺う,期待が肩透かしのまま終わる
four of wands,ワンドの4,歓喜,心からの喜びを得る,現状に喜びを探す
five of wands,ワンドの5,勝ち取る,切磋琢磨しながら奮闘する,相手を打ち負かす
six of wands,ワンドの6,称賛,ほめたたえられ自分を誇らしく思う,理不尽な結果に不満を抱いている
seven of wands,ワンドの7,奮闘,有利な立場勝ち取る,不利な状況で苦戦を強いられる
eight of wands,ワンドの8,急展開,目まぐるしい速度で進みだす,思わぬところで息詰まる
nine of wands,ワンドの9,備える,臨機応変に準備する,慢心して痛手を負う
ten of wands,ワンドの10,重圧,自分が選んだ重荷で手いっぱいに,強いられているものを手放す
page of wands,ワンドのペイジ,伝令,未来を確信して熱意を燃やす,いい気になって嘯く
knight of wands,ワンドのナイト,出発,新天地に向かって旅立つ,心が変化に追いつかない
queen of wands,ワンドのクイーン,魅力,周りの誰もが引き寄せられる,マイペースさが誤解を生む
king of wands,ワンドのキング,豪胆,信念でことを成し遂げる,強引に物事をコントロールする
ace of pentacles,ペンタクルのA,実力,力を発揮して豊かさを手に入れる,利益を優先してしまい努力が水の泡に
two of pentacles,ペンタクルの2,柔軟性,状況を把握し正しい行動を起こす,状況に対応できず四苦八苦している
three of pentacles,ペンタクルの3,技術力,培ってきた力が評価される,持っている値かなが評価されない
four of pentacles,ペンタクルの4,所有欲,手堅い利益を優先する,強欲になり自分を見失う
five of pentacles,ペンタクルの5,困難,苦しい状況で精神的に荒廃する,救いによって希望を取り戻す
six of pentacles,ペンタクルの6,関係性,善意を差し出す人と受け取る人の関係,支配する人と支配される人の関係
seven of pentacles,ペンタクルの7,成長,問題を改善して次のステップへ,不安を抱えながら漫然を過ごす
eight of pentacles,ペンタクルの8,修行,目の前のことに集中して取り組む,目の前のことに集中できない
nine of pentacles,ペンタクルの9,達成,引き立てられて成功する,嘘や偽りで成功をねらう
ten of pentacles,ペンタクルの10,継承,受け継いだもので繁栄し安定する,受け継がれたものが限界を迎える
page of pentacles,ペンタクルのペイジ,真摯,時間をかけて積み重ねる,時間ばかりを費やしている
knight of pentacles,ペンタクルのナイト,現実性,最後まで取り遂げる,現状維持に終わる
queen of pentacles,ペンタクルのクイーン,寛容,育てることで自らも成長する,甘やかしで互いにダメになる
king of pentacles,ペンタクルのキング,貢献,自分の力を役立てようとする,自分の力を生かし切れていない
ace of swords,ソードのA ,開拓,切り開いて成し遂げる,強引さで破滅を招く
two of swords,ソードの2,葛藤,穏やかなこことで調和を保つ,その場のぎで息詰まる
three of swords,ソードの3,痛み,物事を核心を受け入れる,真実を拒絶もがき苦しむ
four of swords,ソードの4,回復,静かに休み態勢を整える,準備が整い再び動き出す
five of swords,ソードの5,混乱,手段を択ばず強奪する,大切なものを奪われる
six of swords,ソードの6,途上,困難な状況から脱出する,かつての苦境に逆戻りする
seven of swords,ソードの7,裏切り,コツコツと裏で画策する,危険を察し万全に備える
eight of swords,ソードの8,忍耐,苦しい状況で助けを待っている,助けのない状況で暴れてる
nine of swords,ソードの9,苦悶,取返しがつかずに絶望する,悪い状況に向き合おうとしない
ten of swords,ソードの10,岐路,すべて受け入れる前進する,都合の良いことだけを見ている
page of swords,ソードのペイジ,警戒,状況を見極め慎重になっている,今一つ脇が甘い
knight of swords,ソードのナイト,果敢,理路整然と決断して進む,不毛な争いを招く
queen of swords,ソードのクイーン,的確さ,正しい言動で一目置かれる,自分の防衛のための武装
ace of cups,カップのA,愛する力,愛と希望に溢れる,喪失感で空っぽになる
two of cups,カップの2,相互理解,よい信頼関係を築く,心がかたく閉ざされていく
three of cups,カップの3,共感,仲間とともに喜び祝い,怠惰を楽しみに浸る
four of cups,カップの4,倦怠,不満を抱えて悶悶とする,不満への打開策を見出す
five of cups,カップの5,喪失,失った悲しみで後悔に暮れる,新たな局面に向け再起する
six of cups,カップの6,心の浄化,懐かしさが胸を満たす,過去の記憶を引きする
seven of cups,カップの7,夢,夢に酔いしれて迷い,夢の実現のため決断する
eight of cups,カップの8,変転,終わりを悟りつに旅立つ,同じテーマに再挑戦する
nine of cups,カップの9,願望,念願がかない心が満たされる,欲望に支配され判断を誤る
ten of cups,カップの10,幸せ,平穏な日々に幸せを感じる,退屈な日々に不満を募らせる
page of cups,カップのペイジ,受容,すべてを受けていれる豊かな心,誘惑に流される弱い心
knight of cups,カップのナイト,理想,理想を達成する喜び,現実に直面する悲しみ
queen of cups,カップのクイーン,慈愛,受け入れて本質を見抜く,受け入れて同情に浸る
king of cups,カップのキング,寛大,悠然とものごとをこなす,振り回され己を失う
king of swords,ソードのキング,厳格さ,客観的な分析で判断する,独裁的に威権を守る
